BUSSTOPID,STOP NUMBER,LOCATION,WINTER MAINTENANCE ZONE,WINTER MAINTENANCE ROUTE,WINTER MAINTENANCE LEVEL OF SERVICE,WINTER MAINTENANCE RESPONSIBILITY,COMMENTS
BS2019,6084,Barrington St Before Prince St (6084),HRM SW  Zone 1,Route 1,PRI2,HRM,
BS1878,6085,Barrington St Before Prince St (6085),HRM SW  Zone 1,Route 1,PRI2,HRM,
BS1252,8639,Cogswell St After Albemarle St (8639),HRM SW  Zone 1,Route 1,PRI2,HRM,
BS2265,6590,Duke St Before Albemarle St (6590),HRM SW  Zone 1,Route 1,PRI2,HRM,
BS506,6733,George St Before Hollis St (6733),HRM SW  Zone 1,Route 1,PRI2,HRM,
BS1347,8822,Hollis St Before Prince St (8822),HRM SW  Zone 1,Route 1,PRI2,HRM,
BS2695,8606,Upper Water St Before Cogswell St (8606),HRM SW  Zone 1,Route 1,PRI2,HRM,
BS993,8412,Upper Water St Before Purdys Ln (8412),HRM SW  Zone 1,Route 1,PRI2,HRM,SHELTER
BS1921,8435,Water St Terminal (8435),HRM SW  Zone 1,Route 1,PRI2,HRM,
BS2173,6096,Barrington St After South St (6096),HRM SW  Zone 1,Route 2,PRI2,HRM,SHELTER
BS2085,6124,Barrington St After Spring Garden Rd (6124),HRM SW  Zone 1,Route 2,PRI2,HRM,
BS2179,6102,Barrington St Before Blowers St (6102),HRM SW  Zone 1,Route 2,PRI2,HRM,
BS2170,6093,Barrington St Before Green St (6093),HRM SW  Zone 1,Route 2,PRI2,HRM,
BS2190,6113,Barrington St Before Morris St (6113),HRM SW  Zone 1,Route 2,PRI2,HRM,
BS2191,6114,Barrington St Before Morris St (6114),HRM SW  Zone 1,Route 2,PRI2,HRM,SHELTER
BS2082,6121,Barrington St Before Sackville St (6121),HRM SW  Zone 1,Route 2,PRI2,HRM,
BS2083,6122,Barrington St Before Spring Garden Rd (6122),HRM SW  Zone 1,Route 2,PRI2,HRM,SHELTER
BS2084,6123,Barrington St Before Spring Garden Rd (6123),HRM SW  Zone 1,Route 2,PRI2,HRM,
BS932,6938,Hollis St After Barrington St (6938),HRM SW  Zone 1,Route 2,PRI2,HRM,
BS1348,8823,Hollis St After Sackville St (8823),HRM SW  Zone 1,Route 2,PRI2,HRM,
BS1349,8824,Hollis St Before Bishop St (8824),HRM SW  Zone 1,Route 2,PRI2,HRM,
BS1350,8825,Hollis St Before Morris St (8825),HRM SW  Zone 1,Route 2,PRI2,HRM,
BS2736,8826,Hollis St Before Terminal Rd (8826),HRM SW  Zone 1,Route 2,PRI2,HRM,
BS1345,8819,Lower Water St Before Bishop St (8819),HRM SW  Zone 1,Route 2,PRI2,HRM,
BS2737,8866,Lower Water St Before Morris St (8866),HRM SW  Zone 1,Route 2,PRI2,HRM,
BS1346,8821,Lower Water St Before Sackville St (8821),HRM SW  Zone 1,Route 2,PRI2,HRM,
BS273,9006,Lower Water St Before Salter St (9006),HRM SW  Zone 1,Route 2,PRI2,HRM,
BS1382,8885,Morris St After Barrington St (8885),HRM SW  Zone 1,Route 2,PRI2,HRM,
BS1117,8327,Spring Garden Rd After Queen St (8327),HRM SW  Zone 1,Route 2,PRI2,HRM,SHELTER
BS1128,8338,Spring Garden Rd Before Barrington St (8338),HRM SW  Zone 1,Route 2,PRI2,HRM,
BS1180,6291,Bell Rd After Robie St (6291),HRM SW  Zone 1,Route 3,PRI2,HRM,
BS2141,6546,Cunard St After Robie St (6546),HRM SW  Zone 1,Route 3,PRI2,HRM,
BS1173,8184,Robie St After Quinpool Rd (8184),HRM SW  Zone 1,Route 3,PRI2,HRM,SHELTER
BS852,8179,Robie St After Veterans Memorial Ln (8179),HRM SW  Zone 1,Route 3,PRI2,HRM,SHELTER
BS975,8206,Robie St Before Cunard St (8206),HRM SW  Zone 1,Route 3,PRI2,HRM,SHELTER
BS1838,8223,Robie St Before Quinpool Rd (8223),HRM SW  Zone 1,Route 3,PRI2,HRM,
BS695,8363,Summer St After Bell Rd (8363),HRM SW  Zone 1,Route 3,PRI2,HRM,SHELTER
BS697,8365,Summer St After Veterans Memorial Ln (8365),HRM SW  Zone 1,Route 3,PRI2,HRM,
BS696,8364,Summer St Before Bell Rd (8364),HRM SW  Zone 1,Route 3,PRI2,HRM,SHELTER
BS392,7247,Morris St Before Birmingham St (7247),HRM SW  Zone 1,Route 4,PRI2,HRM,
BS1174,8185,Robie St After Spring Garden Rd (8185),HRM SW  Zone 1,Route 4,PRI2,HRM,SHELTER
BS544,8187,Robie St After University Ave (8187),HRM SW  Zone 1,Route 4,PRI2,HRM,SHELTER
BS1748,8219,Robie St Opposite Binney St (8219),HRM SW  Zone 1,Route 4,PRI2,HRM,
BS248,8309,South Park St After Morris St (8309),HRM SW  Zone 1,Route 4,PRI2,HRM,SHELTER
BS247,8308,South Park St After Spring Garden Rd (8308),HRM SW  Zone 1,Route 4,PRI2,HRM,SHELTER
BS251,8312,South Park St Before Spring Garden Rd (8312),HRM SW  Zone 1,Route 4,PRI2,HRM,
BS252,8313,South Park St Before University Ave (8313),HRM SW  Zone 1,Route 4,PRI2,HRM,
BS1126,8336,Spring Garden Rd After Dresden Row (8336),HRM SW  Zone 1,Route 4,PRI2,HRM,
BS2735,8322,Spring Garden Rd After South Park St (8322),HRM SW  Zone 1,Route 4,PRI2,HRM,
BS1127,8337,Spring Garden Rd After Summer St (8337),HRM SW  Zone 1,Route 4,PRI2,HRM,SHELTER
BS1118,8328,Spring Garden Rd Before Carlton St (8328),HRM SW  Zone 1,Route 4,PRI2,HRM,SHELTER
BS1119,8329,Spring Garden Rd Before Carlton St (8329),HRM SW  Zone 1,Route 4,PRI2,HRM,SHELTER
BS1120,8330,Spring Garden Rd Before Dresden Row (8330),HRM SW  Zone 1,Route 4,PRI2,HRM,
BS1121,8331,Spring Garden Rd Before Queen St (8331),HRM SW  Zone 1,Route 4,PRI2,HRM,
BS1122,8332,Spring Garden Rd Before Robie St (8332),HRM SW  Zone 1,Route 4,PRI2,HRM,SHELTER
BS1123,8333,Spring Garden Rd Before South Park St (8333),HRM SW  Zone 1,Route 4,PRI2,HRM,SHELTER
BS1124,8334,Spring Garden Rd Before South Park St (8334),HRM SW  Zone 1,Route 4,PRI2,HRM,
BS1125,8335,Spring Garden Rd Before Summer St (8335),HRM SW  Zone 1,Route 4,PRI2,HRM,SHELTER
BS905,8410,University Ave After Summer St (8410),HRM SW  Zone 1,Route 4,PRI2,HRM,
BS2328,6506,Cornwallis St Before Bauer St (6506),HRM SW  Zone 1,Route 6,PRI2,HRM,
BS2327,6504,Cornwallis St Before Maynard St (6504),HRM SW  Zone 1,Route 6,PRI2,HRM,
BS2330,6508,Cornwallis St Before North Park St (6508),HRM SW  Zone 1,Route 6,PRI2,HRM,
BS1969,6543,Cunard St After June St (6543),HRM SW  Zone 1,Route 6,PRI2,HRM,
BS306,6790,Gottingen St After Cornwallis St (6790),HRM SW  Zone 1,Route 6,PRI2,HRM,
BS747,6771,Gottingen St Before Cogswell St (6771),HRM SW  Zone 1,Route 6,PRI2,HRM,
BS304,6786,Gottingen St Opposite Prince William St (6786),HRM SW  Zone 1,Route 6,PRI2,HRM,
,,,,,,,
BUSSTOPID,STOP NUMBER,LOCATION,WINTER MAINTENANCE ZONE,WINTER MAINTENANCE ROUTE,WINTER MAINTENANCE LEVEL OF SERVICE,WINTER MAINTENANCE RESPONSIBILITY,COMMENTS
BS729,6026,Alderney Dr After Church St (6026),HRM SW  Zone 2,Route 1,PRI2,HRM,SHELTER
BS731,6028,Alderney Dr Before Prince St (6028),HRM SW  Zone 2,Route 1,PRI2,HRM,
BS732,6029,Alderney Dr Before Prince St (6029),HRM SW  Zone 2,Route 1,PRI2,HRM,
BS728,6025,Alderney Dr Opposite Church St (6025),HRM SW  Zone 2,Route 1,PRI2,HRM,SHELTER
BS2660,6063,Alderney Gate Ferry Terminal Bay 2 (6063),HRM SW  Zone 2,Route 1,PRI2,HRM,SHELTER
BS2661,6064,Alderney Gate Ferry Terminal Bay 3 (6064),HRM SW  Zone 2,Route 1,PRI2,HRM,
BS1954,6527,Crichton Ave After Dahlia St (6527),HRM SW  Zone 2,Route 1,PRI2,HRM,SHELTER
BS1964,6538,Crichton Ave After Ochterloney St (6538),HRM SW  Zone 2,Route 1,PRI2,HRM,
BS1961,6535,Crichton Ave Before Dahlia St (6535),HRM SW  Zone 2,Route 1,PRI2,HRM,SHELTER
BS1962,6536,Crichton Ave Before Hawthorne St (6536),HRM SW  Zone 2,Route 1,PRI2,HRM,
BS1953,6526,Crichton Ave Before Oak St (6526),HRM SW  Zone 2,Route 1,PRI2,HRM,
BS1963,6537,Crichton Ave Before Ochterloney St (6537),HRM SW  Zone 2,Route 1,PRI2,HRM,
BS1955,6528,Crichton Ave Opposite Boathouse Ln (6528),HRM SW  Zone 2,Route 1,PRI2,HRM,
BS2239,6839,Hawthorne St Before Prince Albert Rd (6839),HRM SW  Zone 2,Route 1,PRI2,HRM,
BS1946,7058,King St After Portland St (7058),HRM SW  Zone 2,Route 1,PRI2,HRM,SHELTER
BS1539,7059,King St Before Ochterloney St (7059),HRM SW  Zone 2,Route 1,PRI2,HRM,
BS1098,7386,Ochterloney St After Irishtown Rd (7386),HRM SW  Zone 2,Route 1,PRI2,HRM,SHELTER
BS1100,7388,Ochterloney St Before King St (7388),HRM SW  Zone 2,Route 1,PRI2,HRM,
BS1097,7385,Ochterloney St Before Pine St (7385),HRM SW  Zone 2,Route 1,PRI2,HRM,
BS1101,7389,Ochterloney St Before Wentworth St (7389),HRM SW  Zone 2,Route 1,PRI2,HRM,
BS733,6030,Opposite Alderney Gate Ferry Terminal Bay 1 (6030),HRM SW  Zone 2,Route 1,PRI2,HRM,SHELTER
BS2642,8383,Thistle St After Beech St (8383),HRM SW  Zone 2,Route 1,PRI2,HRM,
BS885,8385,Thistle St After Maple St (8385),HRM SW  Zone 2,Route 1,PRI2,HRM,
BS886,8386,Thistle St After Mayflower St (8386),HRM SW  Zone 2,Route 1,PRI2,HRM,
BS889,8389,Thistle St After Victoria Rd (8389),HRM SW  Zone 2,Route 1,PRI2,HRM,SHELTER
BS890,8391,Thistle St Before Crichton Park Rd (8391),HRM SW  Zone 2,Route 1,PRI2,HRM,
BS888,8388,Thistle St Before Mayflower St (8388),HRM SW  Zone 2,Route 1,PRI2,HRM,
BS887,8387,Thistle St Before Slayter St (8387),HRM SW  Zone 2,Route 1,PRI2,HRM,
BS891,8393,Thistle St Before Victoria Rd (8393),HRM SW  Zone 2,Route 1,PRI2,HRM,
BS877,8390,Thistle St Opposite Beech St (8390),HRM SW  Zone 2,Route 1,PRI2,HRM,
BS721,6018,Albro Lake Rd After Chapman St (6018),HRM SW  Zone 2,Route 2,PRI2,HRM,
BS722,6019,Albro Lake Rd After Richmond St (6019),HRM SW  Zone 2,Route 2,PRI2,HRM,
BS723,6020,Albro Lake Rd Before Chapman St (6020),HRM SW  Zone 2,Route 2,PRI2,HRM,
BS725,6022,Albro Lake Rd Before Richmond St (6022),HRM SW  Zone 2,Route 2,PRI2,HRM,
BS1819,6304,Boland Rd After Cairn St (6304),HRM SW  Zone 2,Route 2,PRI2,HRM,
BS1817,6302,Boland Rd Before Ranya Ln (6302),HRM SW  Zone 2,Route 2,PRI2,HRM,
BS1818,6303,Boland Rd Before Victoria Rd (6303),HRM SW  Zone 2,Route 2,PRI2,HRM,
BS2018,6083,Hudson Way Before Baffin Blvd (6083),HRM SW  Zone 2,Route 2,PRI2,HRM,
BS1507,8070,Princess Margaret Blvd After Hudson Way (8070),HRM SW  Zone 2,Route 2,PRI2,HRM,
BS1709,8074,Princess Margaret Blvd After Killkee Gate (8074),HRM SW  Zone 2,Route 2,PRI2,HRM,SHELTER
BS1508,8071,Princess Margaret Blvd At Civic 40 (8071),HRM SW  Zone 2,Route 2,PRI2,HRM,
BS1509,8072,Princess Margaret Blvd At Civic 55 (8072),HRM SW  Zone 2,Route 2,PRI2,HRM,SHELTER
BS1714,8079,Princess Margaret Blvd Before Ryan Gate (8079),HRM SW  Zone 2,Route 2,PRI2,HRM,
BS1713,8078,Princess Margaret Blvd Before Windmill Rd (8078),HRM SW  Zone 2,Route 2,PRI2,HRM,
BS1708,8073,Princess Margaret Blvd Opposite Civic 320 (8073),HRM SW  Zone 2,Route 2,PRI2,HRM,
BS800,8419,Victoria Rd After Boland Rd (8419),HRM SW  Zone 2,Route 2,PRI2,HRM,SHELTER
BS802,8421,Victoria Rd After Chappell St (8421),HRM SW  Zone 2,Route 2,PRI2,HRM,
BS803,8422,Victoria Rd After Farrell St (8422),HRM SW  Zone 2,Route 2,PRI2,HRM,SHELTER
BS805,8425,Victoria Rd After Symonds St (8425),HRM SW  Zone 2,Route 2,PRI2,HRM,SHELTER
BS804,8424,Victoria Rd Before Frances St (8424),HRM SW  Zone 2,Route 2,PRI2,HRM,
BS1927,8509,Windmill Rd After Albro Lake Rd (8509),HRM SW  Zone 2,Route 2,PRI2,HRM,SHELTER
BS1928,8510,Windmill Rd After Dawson St (8510),HRM SW  Zone 2,Route 2,PRI2,HRM,
BS1626,8540,Windmill Rd After Jamieson St (8540),HRM SW  Zone 2,Route 2,PRI2,HRM,SHELTER
BS226,8127,Windmill Rd After Lyle St (8127),HRM SW  Zone 2,Route 2,PRI2,HRM,
BS168,7129,Windmill Rd After Mott St (7129),HRM SW  Zone 2,Route 2,PRI2,HRM,
BS2134,8516,Windmill Rd After Parkstone Rd (8516),HRM SW  Zone 2,Route 2,PRI2,HRM,
BS1931,8513,Windmill Rd After Trinity Ave (8513),HRM SW  Zone 2,Route 2,PRI2,HRM,
BS1271,8527,Windmill Rd After Waddell Ave (8527),HRM SW  Zone 2,Route 2,PRI2,HRM,
BS167,7128,Windmill Rd After Wyse Rd (7128),HRM SW  Zone 2,Route 2,PRI2,HRM,
